title,description,price,img
Block Printed Striped Boxer Shorts,Azo-Free,"₹3,690","//cdn.shopify.com/s/files/1/0534/2501/2925/products/elastic-waist-striped-short-shorts-short-short-516623_600x.jpg?v=1626188018,//cdn.shopify.com/s/files/1/0534/2501/2925/products/elastic-waist-striped-short-shorts-short-short-632362_600x.jpg?v=1626188018"
Bottle Green Handspun Cotton Short Shorts,Handspun Handwoven,"₹4,330","//cdn.shopify.com/s/files/1/0534/2501/2925/products/6L3A1638copy_600x.jpg?v=1638421904,//cdn.shopify.com/s/files/1/0534/2501/2925/products/6L3A1635copy_600x.jpg?v=1638421904"
Cotton Beige Striped Paperbag Shorts,100% Cotton,"₹3,550","//cdn.shopify.com/s/files/1/0534/2501/2925/products/cotton-beige-striped-paperbag-shorts-paperbag-shorts-553172_600x.jpg?v=1625992611,//cdn.shopify.com/s/files/1/0534/2501/2925/products/cotton-beige-striped-paperbag-shorts-paperbag-shorts-846996_600x.jpg?v=1625992611"
Dusk Beige Cotton Corduroy Baggy Shorts,Cotton Corduroy,"₹3,200","//cdn.shopify.com/s/files/1/0534/2501/2925/products/dusk-beige-cotton-corduroy-baggy-shorts-baggy-shorts-687982_600x.jpg?v=1625992953,//cdn.shopify.com/s/files/1/0534/2501/2925/products/dusk-beige-cotton-corduroy-baggy-shorts-baggy-shorts-226961_600x.jpg?v=1625992953"
Bagru Block Print Mustard Straight Shorts,Natural Dyed,"₹3,540","//cdn.shopify.com/s/files/1/0534/2501/2925/products/mustard-paisley-straight-short-shorts-short-shorts-439136_600x.jpg?v=1625993460,//cdn.shopify.com/s/files/1/0534/2501/2925/products/mustard-paisley-straight-short-shorts-short-shorts-542898_600x.jpg?v=1625993460"
Indigo Dabu Print High Rise Comfort Fit Shorts,Natural Dyed,"₹2,800","//cdn.shopify.com/s/files/1/0534/2501/2925/products/IMG_0963_6496a8f4-25a9-4a94-aa6d-bbe7c095653f_600x.jpg?v=1638422191,//cdn.shopify.com/s/files/1/0534/2501/2925/products/IMG_0958_d4a508f7-cc33-467e-aed6-bebbc60246d8_600x.jpg?v=1638422191"
Brick Red Cotton Straight Shorts,100% Cotton,"₹1,880","//cdn.shopify.com/s/files/1/0534/2501/2925/products/brick-red-mid-rise-straight-shorts-straight-fit-shorts-804680_600x.jpg?v=1625849079,//cdn.shopify.com/s/files/1/0534/2501/2925/products/brick-red-mid-rise-straight-shorts-straight-fit-shorts-981452_600x.jpg?v=1625849079"
White Short Crinkled Cotton Shorts,100% Cotton,"₹4,000","//cdn.shopify.com/s/files/1/0534/2501/2925/products/white-short-crinkled-cotton-shorts-short-shorts-166598_600x.jpg?v=1625993784,//cdn.shopify.com/s/files/1/0534/2501/2925/products/white-short-crinkled-cotton-shorts-short-shorts-679340_600x.jpg?v=1625993784"
Block Printed Mid-Rise Elasticated Shorts,Azo-Free,"₹3,690","//cdn.shopify.com/s/files/1/0534/2501/2925/products/straight-fit-belted-short-shorts-short-short-182816_600x.jpg?v=1625849414,//cdn.shopify.com/s/files/1/0534/2501/2925/products/straight-fit-belted-short-shorts-short-short-889155_600x.jpg?v=1625849414"
Natural Dyed Mid Rise Dabu Printed Shorts,Natural Dyed,"₹2,820","//cdn.shopify.com/s/files/1/0534/2501/2925/products/dabu-indigo-short-shorts-short-shorts-799415_600x.jpg?v=1626084919,//cdn.shopify.com/s/files/1/0534/2501/2925/products/dabu-indigo-short-shorts-short-shorts-668532_600x.jpg?v=1626084919"
Powder Pink Vegetable Dyed Handspun Short Shorts,Handspun Handwoven,"₹4,660","//cdn.shopify.com/s/files/1/0534/2501/2925/products/powder-pink-vegetable-dyed-handspun-short-shorts-short-shorts-227718_600x.jpg?v=1626282323,//cdn.shopify.com/s/files/1/0534/2501/2925/products/powder-pink-vegetable-dyed-handspun-short-shorts-short-shorts-982182_600x.jpg?v=1626282323"
Sky Blue Crinkled Cotton Short Shorts,100% Cotton,"₹3,520","//cdn.shopify.com/s/files/1/0534/2501/2925/products/sky-blue-crinkled-cotton-short-shorts-short-shorts-462658_600x.jpg?v=1625850697,//cdn.shopify.com/s/files/1/0534/2501/2925/products/sky-blue-crinkled-cotton-short-shorts-short-shorts-561579_600x.jpg?v=1625850697"
Ash Grey Flannel Convertible Pant Shorts,Convertible,"₹4,630","//cdn.shopify.com/s/files/1/0534/2501/2925/products/ash-grey-flannel-convertible-pant-shorts-pant-shorts-251847_600x.jpg?v=1611242357,//cdn.shopify.com/s/files/1/0534/2501/2925/products/ash-grey-flannel-convertible-pant-shorts-pant-shorts-753382_600x.jpg?v=1630140008"
Blue Sanganeri Print Floral Short Shorts,Hand Block Printed,"₹2,730","//cdn.shopify.com/s/files/1/0534/2501/2925/products/blue-sanganeri-print-floral-short-shorts-short-shorts-771677_600x.jpg?v=1625849045,//cdn.shopify.com/s/files/1/0534/2501/2925/products/blue-sanganeri-print-floral-short-shorts-short-shorts-390135_600x.jpg?v=1625849045"
Mint Green Handspun Mid-Rise Shorts,Handspun Handwoven,"₹3,570","//cdn.shopify.com/s/files/1/0534/2501/2925/products/mint-green-handspun-mid-rise-shorts-short-shorts-881441_600x.jpg?v=1626080718,//cdn.shopify.com/s/files/1/0534/2501/2925/products/mint-green-handspun-mid-rise-shorts-short-shorts-849884_600x.jpg?v=1626080718"
Beige Solid Cotton Short Shorts,100% Cotton,"₹2,460","//cdn.shopify.com/s/files/1/0534/2501/2925/products/beige-solid-cotton-short-shorts-short-shorts-521202_600x.jpg?v=1611250601,//cdn.shopify.com/s/files/1/0534/2501/2925/products/beige-solid-cotton-short-shorts-short-shorts-131671_600x.jpg?v=1611250601"
Brick Red Vegetable Dyed Handspun Short Shorts,Handspun Handwoven,"₹4,660","//cdn.shopify.com/s/files/1/0534/2501/2925/products/brick-red-vegetable-dyed-handspun-short-shorts-short-shorts-577627_600x.jpg?v=1626188524,//cdn.shopify.com/s/files/1/0534/2501/2925/products/brick-red-vegetable-dyed-handspun-short-shorts-short-shorts-663628_600x.jpg?v=1626188524"
Teal Blue Low Rise Short Cotton Shorts,100% Cotton,"₹3,140","//cdn.shopify.com/s/files/1/0534/2501/2925/products/JNPR3308_d0042ac0-8751-43a7-ac51-f538ba625d06_600x.jpg?v=1640770769,//cdn.shopify.com/s/files/1/0534/2501/2925/products/JNPR3311_139c52a6-d380-4451-9b09-d65833ae47ac_600x.jpg?v=1640770756"
Olive Green Cotton Straight Shorts,100% Cotton,"₹1,880","//cdn.shopify.com/s/files/1/0534/2501/2925/products/olive-green-cotton-straight-shorts-straight-shorts-974322_600x.jpg?v=1611242437,//cdn.shopify.com/s/files/1/0534/2501/2925/products/olive-green-cotton-straight-shorts-straight-shorts-148624_600x.jpg?v=1611242437"
Rust Vegetable Dyed Handspun Short Shorts,Handspun Handwoven,"₹4,660","//cdn.shopify.com/s/files/1/0534/2501/2925/products/rust-vegetable-dyed-handspun-short-shorts-short-shorts-529557_600x.jpg?v=1626282778,//cdn.shopify.com/s/files/1/0534/2501/2925/products/rust-vegetable-dyed-handspun-short-shorts-short-shorts-117885_600x.jpg?v=1626282778"
